did,description,record_text
did:plc:nspqsv2dplvzqmxnpu5ysucy,"My interests are: Basketball, LGBTQ rights, progressive but sensible politics, new technologies, comedies, comics (sci-fi and Marvels), indy rock (Cage the Elephant, Crash Test Dummies, the National, others)","Totally correct: you think Kerr wanted an exhausted and undersized TJD matched up with Sabonis tonight?  Of course, he'd prefer a better option..."
did:plc:p5dlufvrtd4xouqiekf5qrko,"Leave Meta & Twitter, enjoying the BlueSky. Just Beautiful Space. Enjoying to learning something New. Respect All religion. I am here to post about Politics & Mushroom Picture. 🤠

🚫 crypto/p*rn.",Chrysomphalina aurantiaca / Orange Chrysomphalina :- The orange Chrysomphalina is a striking mushroom found in coastal forests.
did:plc:yc7svzsjqbpedrznhujq66xd,"I make ceramic containers because I hate clutter and love making things. 

Born Stateless, US citizen on paper.  Love the people, worried about them  &  government. 

Cutting wood, carrying water.",The judge found that the OMB's memorandum directing federal agencies to pause all financial assistance was likely arbitrary and capricious
did:plc:jcoy7v3a2t4rcfdh6i4kza25,"Astronomy postdoc @mpi-astro.bsky.social in 🇩🇪. 
Works with machine learning & star clusters. 
Maintains the Astronomy feeds (@astronomy.blue).

🏳️‍🌈 🏳️‍⚧️ (she/her), Ⓥ
Website: https://emily.space
GitHub: https://github.com/emilyhunt","Lie"" is absolutely disgusting framing. She had sex with a guy who turned out to be such a violent ""Gender Critical"" that he tried to kill after learning she was trans. I wonder why she had to keep her personal medical history from him huh?! As if you would tell a potential murderer your info. Sick"""
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io","Also calls out the right wing attacks on affirmative action, DEI, CRT, etc. for what they are: attempts to recruit the state to censor university research and teaching in part by getting rid of those whom the far right associates with troublesome ideas (faculty and students of color, and women)"
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava Ukraine🇺🇦","I do think it's a swipe at Badenoch, but let's face it, all Tories think they naturally belong at the top of society."
did:plc:yc7svzsjqbpedrznhujq66xd,"I make ceramic containers because I hate clutter and love making things. 

Born Stateless, US citizen on paper.  Love the people, worried about them  &  government. 

Cutting wood, carrying water.","They have  power for now. That will  change.  Saner judges, world leaders, 2/3rds of the US pop.   know exactly what he is.

If they & we, weren't on full alert before, we are up & pushing back.  Like a magic trick, it's all misdirection. 

We are Americans 1st & this is who most of us are.  🇺🇲"
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava Ukraine🇺🇦","I know it's all about personal choice but there's a lot to unpack here.
Sisters at 7? Siouxie 8? No Mission. No Nephs?
Christian Death too? Awful band.
#Goth"
did:plc:22dinejywtyg466x6amqxmed,"Pro fighter, pro choice, protagonist, animal lover, hiker, health and fitness enthusiasts, science is real, no one is illegal, LBGTQ ally, Unmasked! The Podcast co-host",I started martial arts because I had something to prove to everyone who picked on me growing up that I was a bad ass. Now I'm just trying to prove it to myself. What a wild journey.
did:plc:7qsnluw2nwllhbszbim2g52y,"ATLien, but always a Buckeye. Plastics by trade.  Hobbies include woodworking, law and politics, and being right.
Always curious to learn.
The past decade has radicalized me.","Siamo Italiani! (Tranne mi.)
Three years ago, I began looking at the possibility of claiming blood-right citizenship in Italy for my wife and kids."
